les Escaldes	Escaldes-Engordany	AD	Europe/Andorra	15853
Andorra la Vella	Andorra la Vella	AD	Europe/Andorra	20430
Umm Al Quwain City	Imarat Umm al Qaywayn	AE	Asia/Dubai	62747
Ras Al Khaimah City	Imarat Ra's al Khaymah	AE	Asia/Dubai	351943
Zayed City	Abu Dhabi	AE	Asia/Dubai	63482
Khawr Fakkan	Sharjah	AE	Asia/Dubai	40677
Dubai	Dubai	AE	Asia/Dubai	3478300
Dibba Al-Fujairah	Fujairah	AE	Asia/Dubai	30000
Dibba Al-Hisn	Fujairah	AE	Asia/Dubai	26395
Sharjah	Sharjah	AE	Asia/Dubai	1274749
Ar Ruways	Abu Dhabi	AE	Asia/Dubai	25000
Al Fujairah City	Fujairah	AE	Asia/Dubai	86512
Al Ain City	Abu Dhabi	AE	Asia/Dubai	846747
Ajman City	Ajman	AE	Asia/Dubai	490035
Adh Dhayd	Sharjah	AE	Asia/Dubai	20165
Abu Dhabi	Abu Dhabi	AE	Asia/Dubai	603492
Khalifah A City	Abu Dhabi	AE	Asia/Dubai	85374
Bani Yas City	Abu Dhabi	AE	Asia/Dubai	80498
Musaffah	Abu Dhabi	AE	Asia/Dubai	243341
Al Shamkhah City	Abu Dhabi	AE	Asia/Dubai	61710
Reef Al Fujairah City	Fujairah	AE	Asia/Dubai	82310
Zaranj	Nimroz	AF	Asia/Kabul	49851
Bazar-e Yakawlang	Bamyan	AF	Asia/Kabul	65000
Taloqan	Takhar	AF	Asia/Kabul	64256
Shindand	Herat	AF	Asia/Kabul	29264
Shibirghan	Jowzjan	AF	Asia/Kabul	55641
Shahrak	Ghowr	AF	Asia/Kabul	15967
Sar-e Pul	Sar-e Pol Province	AF	Asia/Kabul	52121
Sang-e Charak	Sar-e Pol Province	AF	Asia/Kabul	15377
Aibak	Samangan	AF	Asia/Kabul	47823
Rustaq	Takhar	AF	Asia/Kabul	25636
Qarqin	Jowzjan	AF	Asia/Kabul	15018
Qarawul	Kunduz	AF	Asia/Kabul	24544
Pul-e Khumri	Baghlan	AF	Asia/Kabul	56369
Paghman	Kabul	AF	Asia/Kabul	49157
Nahrin	Baghlan	AF	Asia/Kabul	22363
Maymana	Faryab	AF	Asia/Kabul	75900
Mehtar Lam	Laghman	AF	Asia/Kabul	17345
Mazar-e Sharif	Balkh	AF	Asia/Kabul	523300
Lashkar Gah	Helmand	AF	Asia/Kabul	43934
Kushk	Herat	AF	Asia/Kabul	16952
Kunduz	Kunduz	AF	Asia/Kabul	161902
Khost	Khowst	AF	Asia/Kabul	96123
Khulm	Balkh	AF	Asia/Kabul	64933
Khash	Nimroz	AF	Asia/Kabul	15133
Khanabad	Kunduz	AF	Asia/Kabul	71531
Karukh	Herat	AF	Asia/Kabul	17484
Kandahar	Kandahar	AF	Asia/Kabul	523300
Kabul	Kabul	AF	Asia/Kabul	4434550
Jalalabad	Nangarhar	AF	Asia/Kabul	271900
Jabal os Saraj	Parwan	AF	Asia/Kabul	15032
Herat	Herat	AF	Asia/Kabul	574300
Ghormach	Badghis	AF	Asia/Kabul	30000
Ghazni	Ghazni	AF	Asia/Kabul	141000
Gereshk	Helmand	AF	Asia/Kabul	43588
Gardez	Paktia	AF	Asia/Kabul	103601
Fayzabad	Badakhshan	AF	Asia/Kabul	44421
Farah	Farah	AF	Asia/Kabul	43561
Kafir Qala	Herat	AF	Asia/Kabul	18086
Charikar	Parwan	AF	Asia/Kabul	53676
Baraki Barak	Logar	AF	Asia/Kabul	22305
Bamyan	Bamyan	AF	Asia/Kabul	61863
Balkh	Balkh	AF	Asia/Kabul	114883
Baghlan	Baghlan	AF	Asia/Kabul	108449
Art Khwajah	Takhar	AF	Asia/Kabul	18623
Asmar	Kunar	AF	Asia/Kabul	15708
Asadabad	Kunar	AF	Asia/Kabul	48400
Andkhoy	Faryab	AF	Asia/Kabul	29208
Bazarak	Panjshir	AF	Asia/Kabul	65000
Markaz-e Woluswali-ye Achin	Nangarhar	AF	Asia/Kabul	15098
Saint John's	Saint John	AG	America/Antigua	24226
The Valley	The Valley	AI	America/Anguilla	2035
Sarande	Vlore County	AL	Europe/Tirane	15147
Pogradec	Korce County	AL	Europe/Tirane	61530
Kukes	Kukes County	AL	Europe/Tirane	17832
Korce	Korce County	AL	Europe/Tirane	58259
Gjirokaster	Gjirokaster County	AL	Europe/Tirane	23437
Elbasan	Elbasan County	AL	Europe/Tirane	100903
Burrel	Diber County	AL	Europe/Tirane	15405
Vlore	Vlore County	AL	Europe/Tirane	89546
Tirana	Tirana	AL	Europe/Tirane	418495
Shkoder	Shkoder County	AL	Europe/Tirane	88245
Patos Fshat	Fier County	AL	Europe/Tirane	22679
Patos	Fier County	AL	Europe/Tirane	16000
Lushnje	Fier County	AL	Europe/Tirane	41469
Lezhe	Lezhe County	AL	Europe/Tirane	18695
Lac	Lezhe County	AL	Europe/Tirane	24825
Kruje	Durres County	AL	Europe/Tirane	21286
Kavaje	Tirana	AL	Europe/Tirane	29354
Fier-Cifci	Fier County	AL	Europe/Tirane	60995
Fier	Fier County	AL	Europe/Tirane	56297
Durres	Durres County	AL	Europe/Tirane	122034
Berat	Berat County	AL	Europe/Tirane	46866
Kapan	Syunik	AM	Asia/Yerevan	33160
Goris	Syunik	AM	Asia/Yerevan	20379
Hats'avan	Syunik	AM	Asia/Yerevan	15208
Artashat	Ararat	AM	Asia/Yerevan	20562
Ararat	Ararat	AM	Asia/Yerevan	28832
Yerevan	Yerevan	AM	Asia/Yerevan	1093485
Vagharshapat	Armavir	AM	Asia/Yerevan	46200
Stepanavan	Lori	AM	Asia/Yerevan	23782
Spitak	Lori	AM	Asia/Yerevan	15059
Sevan	Gegharkunik	AM	Asia/Yerevan	17083
Masis	Ararat	AM	Asia/Yerevan	18911
Vanadzor	Lori	AM	Asia/Yerevan	101098
Gavar	Gegharkunik	AM	Asia/Yerevan	21680
Hrazdan	Kotayk	AM	Asia/Yerevan	40795
Armavir	Armavir	AM	Asia/Yerevan	25963
Gyumri	Shirak	AM	Asia/Yerevan	148381
Ch'arents'avan	Kotayk	AM	Asia/Yerevan	18500
Ashtarak	Aragatsotn	AM	Asia/Yerevan	18779
Abovyan	Kotayk	AM	Asia/Yerevan	35673
Saurimo	Lunda Sul	AO	Africa/Luanda	40498
Lucapa	Luanda Norte	AO	Africa/Luanda	20115
Luau	Moxico	AO	Africa/Luanda	18465
Uige	Uige	AO	Africa/Luanda	60008
Soio	Zaire	AO	Africa/Luanda	67491
N'zeto	Zaire	AO	Africa/Luanda	18352
N'dalatando	Cuanza Norte	AO	Africa/Luanda	383100
Mbanza Kongo	Zaire	AO	Africa/Luanda	24220
Malanje	Malanje	AO	Africa/Luanda	87046
Luanda	Luanda	AO	Africa/Luanda	2776168
Caxito	Bengo	AO	Africa/Luanda	28224
Cabinda	Cabinda	AO	Africa/Luanda	66020
Sumbe	Kwanza Sul	AO	Africa/Luanda	33277
Mocamedes	Namibe	AO	Africa/Luanda	80149
Menongue	Cuando Cobango	AO	Africa/Luanda	32203
Luena	Moxico	AO	Africa/Luanda	21115
Lubango	Huila	AO	Africa/Luanda	102541
Longonjo	Huambo	AO	Africa/Luanda	24346
Lobito	Benguela	AO	Africa/Luanda	207932
Cuito	Bie	AO	Africa/Luanda	113624
Huambo	Huambo	AO	Africa/Luanda	226145
Catumbela	Benguela	AO	Africa/Luanda	16977
Catabola	Bie	AO	Africa/Luanda	18855
Camacupa	Bie	AO	Africa/Luanda	19150
Caala	Huambo	AO	Africa/Luanda	21205
Benguela	Benguela	AO	Africa/Luanda	151226
Zarate	Buenos Aires	AR	America/Argentina/Buenos_Aires	99061
Wanda	Misiones	AR	America/Argentina/Cordoba	15529
Villa Ortuzar	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	22500
Villa Ocampo	Santa Fe	AR	America/Argentina/Cordoba	19101
Villa Lugano	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	114000
Villaguay	Entre Rios	AR	America/Argentina/Cordoba	32027
Villa Gesell	Buenos Aires	AR	America/Argentina/Buenos_Aires	23257
Villa de Mayo	Buenos Aires	AR	America/Argentina/Buenos_Aires	43405
Tortuguitas	Buenos Aires	AR	America/Argentina/Buenos_Aires	41390
Tigre	Buenos Aires	AR	America/Argentina/Buenos_Aires	31106
Tandil	Buenos Aires	AR	America/Argentina/Buenos_Aires	115877
San Vicente	Misiones	AR	America/Argentina/Cordoba	38247
Santo Tome	Corrientes	AR	America/Argentina/Cordoba	22634
Santos Lugares	Buenos Aires	AR	America/Argentina/Buenos_Aires	37267
Santa Elena	Entre Rios	AR	America/Argentina/Cordoba	18410
San Pedro	Buenos Aires	AR	America/Argentina/Buenos_Aires	47452
San Pedro	Misiones	AR	America/Argentina/Cordoba	23736
San Luis del Palmar	Corrientes	AR	America/Argentina/Cordoba	15347
San Lorenzo	Corrientes	AR	America/Argentina/Cordoba	47626
San Javier	Santa Fe	AR	America/Argentina/Cordoba	15606
San Isidro	Buenos Aires	AR	America/Argentina/Buenos_Aires	45190
Saladas	Corrientes	AR	America/Argentina/Cordoba	18349
Retiro	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	38635
Resistencia	Chaco	AR	America/Argentina/Cordoba	290793
Reconquista	Santa Fe	AR	America/Argentina/Cordoba	90184
Quilmes	Buenos Aires	AR	America/Argentina/Buenos_Aires	262379
Puerto Rico	Misiones	AR	America/Argentina/Cordoba	17491
Puerto Iguazu	Misiones	AR	America/Argentina/Cordoba	32038
Puerto Esperanza	Misiones	AR	America/Argentina/Cordoba	15579
Puerto Eldorado	Misiones	AR	America/Argentina/Cordoba	54189
Posadas	Misiones	AR	America/Argentina/Cordoba	305874
Pontevedra	Buenos Aires	AR	America/Argentina/Buenos_Aires	33515
Pirane	Formosa	AR	America/Argentina/Cordoba	19124
Pilar	Buenos Aires	AR	America/Argentina/Buenos_Aires	81120
Paso de los Libres	Corrientes	AR	America/Argentina/Cordoba	43805
Obera	Misiones	AR	America/Argentina/Cordoba	56528
Necochea	Buenos Aires	AR	America/Argentina/Buenos_Aires	73557
Muniz	Buenos Aires	AR	America/Argentina/Buenos_Aires	26827
Moron	Buenos Aires	AR	America/Argentina/Buenos_Aires	122642
Monte Caseros	Corrientes	AR	America/Argentina/Cordoba	24671
Montecarlo	Misiones	AR	America/Argentina/Cordoba	22229
Merlo	Buenos Aires	AR	America/Argentina/Buenos_Aires	268961
Mercedes	Buenos Aires	AR	America/Argentina/Buenos_Aires	63284
Mercedes	Corrientes	AR	America/Argentina/Cordoba	30649
Mar del Plata	Buenos Aires	AR	America/Argentina/Buenos_Aires	593337
Lujan	Buenos Aires	AR	America/Argentina/Buenos_Aires	97363
Los Polvorines	Buenos Aires	AR	America/Argentina/Buenos_Aires	53354
La Plata	Buenos Aires	AR	America/Argentina/Buenos_Aires	195443
La Paz	Entre Rios	AR	America/Argentina/Cordoba	24716
Jardin America	Misiones	AR	America/Argentina/Cordoba	24905
Hurlingham	Buenos Aires	AR	America/Argentina/Buenos_Aires	60000
Gualeguaychu	Entre Rios	AR	America/Argentina/Cordoba	78676
Gualeguay	Entre Rios	AR	America/Argentina/Cordoba	33120
Goya	Corrientes	AR	America/Argentina/Cordoba	70245
Gobernador Virasora	Corrientes	AR	America/Argentina/Cordoba	28756
General Pacheco	Buenos Aires	AR	America/Argentina/Buenos_Aires	43287
General Jose de San Martin	Chaco	AR	America/Argentina/Cordoba	31758
Garupa	Misiones	AR	America/Argentina/Cordoba	28814
Formosa	Formosa	AR	America/Argentina/Cordoba	222226
Fontana	Chaco	AR	America/Argentina/Cordoba	26745
Federal	Entre Rios	AR	America/Argentina/Cordoba	16333
Esquina	Corrientes	AR	America/Argentina/Cordoba	26399
El Soberbio	Misiones	AR	America/Argentina/Cordoba	19571
Don Torcuato	Buenos Aires	AR	America/Argentina/Buenos_Aires	71356
Dolores	Buenos Aires	AR	America/Argentina/Buenos_Aires	25190
Curuzu Cuatia	Corrientes	AR	America/Argentina/Cordoba	36390
Corrientes	Corrientes	AR	America/Argentina/Cordoba	346334
Concordia	Entre Rios	AR	America/Argentina/Cordoba	145210
Concepcion del Uruguay	Entre Rios	AR	America/Argentina/Cordoba	67895
Colegiales	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	57000
Chajari	Entre Rios	AR	America/Argentina/Cordoba	30655
Campana	Buenos Aires	AR	America/Argentina/Buenos_Aires	86860
Buenos Aires	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	2891082
Boedo	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	48231
Berazategui	Buenos Aires	AR	America/Argentina/Buenos_Aires	180523
Bella Vista	Buenos Aires	AR	America/Argentina/Buenos_Aires	79737
Belgrano	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	138942
Barranqueras	Chaco	AR	America/Argentina/Cordoba	50823
Barracas	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	77474
Balcarce	Buenos Aires	AR	America/Argentina/Buenos_Aires	38823
Azul	Buenos Aires	AR	America/Argentina/Buenos_Aires	53941
Avellaneda	Santa Fe	AR	America/Argentina/Cordoba	23341
Aristobulo del Valle	Misiones	AR	America/Argentina/Cordoba	20683
Zapala	Neuquen	AR	America/Argentina/Salta	31534
Yerba Buena	Tucuman	AR	America/Argentina/Tucuman	50783
Villa Regina	Rio Negro	AR	America/Argentina/Salta	31209
Villa Paula de Sarmiento	San Juan	AR	America/Argentina/San_Juan	19092
Villa Nueva	Cordoba	AR	America/Argentina/Cordoba	16841
Villa Maria	Cordoba	AR	America/Argentina/Cordoba	92453
Villa Dolores	Cordoba	AR	America/Argentina/Cordoba	28009
Villa Constitucion	Santa Fe	AR	America/Argentina/Cordoba	44271
Villa Carlos Paz	Cordoba	AR	America/Argentina/Cordoba	69451
Villa Angela	Chaco	AR	America/Argentina/Cordoba	43511
Villa Allende	Cordoba	AR	America/Argentina/Cordoba	21683
Viedma	Rio Negro	AR	America/Argentina/Salta	48940
Victoria	Entre Rios	AR	America/Argentina/Cordoba	25139
Vera	Santa Fe	AR	America/Argentina/Cordoba	19797
Venado Tuerto	Santa Fe	AR	America/Argentina/Cordoba	72340
Veinticinco de Mayo	Buenos Aires	AR	America/Argentina/Buenos_Aires	24668
Ushuaia	Tierra del Fuego	AR	America/Argentina/Ushuaia	56825
Unquillo	Cordoba	AR	America/Argentina/Cordoba	15369
Tres Isletas	Chaco	AR	America/Argentina/Cordoba	24747
Tres Arroyos	Buenos Aires	AR	America/Argentina/Buenos_Aires	47136
Trelew	Chubut	AR	America/Argentina/Catamarca	97915
Termas de Rio Hondo	Santiago del Estero	AR	America/Argentina/Cordoba	27838
Tartagal	Salta	AR	America/Argentina/Salta	60819
Tafi Viejo	Tucuman	AR	America/Argentina/Tucuman	48459
Sunchales	Santa Fe	AR	America/Argentina/Cordoba	18757
Santo Tome	Santa Fe	AR	America/Argentina/Cordoba	59072
Santiago del Estero	Santiago del Estero	AR	America/Argentina/Cordoba	252192
Santa Rosa	La Pampa	AR	America/Argentina/Salta	102860
Santa Lucia	San Juan	AR	America/Argentina/San_Juan	43565
Santa Fe	Santa Fe	AR	America/Argentina/Cordoba	391164
San Salvador de Jujuy	Jujuy	AR	America/Argentina/Jujuy	257970
San Ramon de la Nueva Oran	Salta	AR	America/Argentina/Salta	74059
San Rafael	Mendoza	AR	America/Argentina/Mendoza	118009
San Pedro de Jujuy	Jujuy	AR	America/Argentina/Jujuy	58430
San Nicolas de los Arroyos	Buenos Aires	AR	America/Argentina/Buenos_Aires	134217
San Miguel de Tucuman	Tucuman	AR	America/Argentina/Tucuman	548866
San Martin de los Andes	Neuquen	AR	America/Argentina/Salta	23519
San Martin	Mendoza	AR	America/Argentina/Mendoza	82549
San Luis	San Luis	AR	America/Argentina/San_Luis	169947
San Justo	Santa Fe	AR	America/Argentina/Cordoba	21809
San Juan	San Juan	AR	America/Argentina/San_Juan	109123
San Jose de Jachal	San Juan	AR	America/Argentina/San_Juan	21018
San Jorge	Santa Fe	AR	America/Argentina/Cordoba	16873
San Francisco	Cordoba	AR	America/Argentina/Cordoba	59062
Catamarca	Catamarca	AR	America/Argentina/Catamarca	159139
San Antonio Oeste	Rio Negro	AR	America/Argentina/Salta	16966
Salta	Salta	AR	America/Argentina/Salta	520683
Rufino	Santa Fe	AR	America/Argentina/Cordoba	18361
Rosario	Santa Fe	AR	America/Argentina/Cordoba	948312
Rio Tercero	Cordoba	AR	America/Argentina/Cordoba	53389
Rio Segundo	Cordoba	AR	America/Argentina/Cordoba	18155
Rio Grande	Tierra del Fuego	AR	America/Argentina/Ushuaia	52681
Rio Gallegos	Santa Cruz	AR	America/Argentina/Rio_Gallegos	95796
Rio Cuarto	Cordoba	AR	America/Argentina/Cordoba	157010
Rio Ceballos	Cordoba	AR	America/Argentina/Cordoba	16632
Rawson	Chubut	AR	America/Argentina/Catamarca	26335
Rafaela	Santa Fe	AR	America/Argentina/Cordoba	88713
Quitilipi	Chaco	AR	America/Argentina/Cordoba	32083
Punta Alta	Buenos Aires	AR	America/Argentina/Buenos_Aires	57209
Puerto Madryn	Chubut	AR	America/Argentina/Catamarca	64555
Presidencia Roque Saenz Pena	Chaco	AR	America/Argentina/Cordoba	81879
Pocito	San Juan	AR	America/Argentina/San_Juan	40969
Plottier	Neuquen	AR	America/Argentina/Salta	25186
Pergamino	Buenos Aires	AR	America/Argentina/Buenos_Aires	91399
Perez	Santa Fe	AR	America/Argentina/Cordoba	24436
Parana	Entre Rios	AR	America/Argentina/Cordoba	247139
Palpala	Jujuy	AR	America/Argentina/Jujuy	48199
Olavarria	Buenos Aires	AR	America/Argentina/Buenos_Aires	89721
Nueve de Julio	Buenos Aires	AR	America/Argentina/Buenos_Aires	34718
Neuquen	Neuquen	AR	America/Argentina/Salta	231198
Morteros	Cordoba	AR	America/Argentina/Cordoba	15129
Monteros	Tucuman	AR	America/Argentina/Tucuman	23771
Mendoza	Mendoza	AR	America/Argentina/Mendoza	114893
Marcos Juarez	Cordoba	AR	America/Argentina/Cordoba	24226
Machagai	Chaco	AR	America/Argentina/Cordoba	28070
Lincoln	Buenos Aires	AR	America/Argentina/Buenos_Aires	41808
Libertador General San Martin	Jujuy	AR	America/Argentina/Jujuy	49267
Las Brenas	Chaco	AR	America/Argentina/Cordoba	26955
La Rioja	La Rioja	AR	America/Argentina/La_Rioja	178872
La Falda	Cordoba	AR	America/Argentina/Cordoba	15112
La Calera	Cordoba	AR	America/Argentina/Cordoba	24796
Laboulaye	Cordoba	AR	America/Argentina/Cordoba	19908
Junin	Buenos Aires	AR	America/Argentina/Buenos_Aires	87509
Joaquin V. Gonzalez	Salta	AR	America/Argentina/Salta	19185
Jesus Maria	Cordoba	AR	America/Argentina/Cordoba	26825
Granadero Baigorria	Santa Fe	AR	America/Argentina/Cordoba	32427
Gobernador Galvez	Santa Fe	AR	America/Argentina/Cordoba	74650
General Villegas	Buenos Aires	AR	America/Argentina/Buenos_Aires	16270
General Roca	Rio Negro	AR	America/Argentina/Salta	73212
General Pinedo	Chaco	AR	America/Argentina/Cordoba	15741
General Pico	La Pampa	AR	America/Argentina/Salta	57029
General Mosconi	Salta	AR	America/Argentina/Salta	19811
Galvez	Santa Fe	AR	America/Argentina/Cordoba	18374
Firmat	Santa Fe	AR	America/Argentina/Cordoba	18294
Famailla	Tucuman	AR	America/Argentina/Tucuman	30951
Esquel	Chubut	AR	America/Argentina/Catamarca	28486
Esperanza	Santa Fe	AR	America/Argentina/Cordoba	35885
Embarcacion	Salta	AR	America/Argentina/Salta	23961
Embalse	Cordoba	AR	America/Argentina/Cordoba	15900
El Bolson	Rio Negro	AR	America/Argentina/Salta	15537
Diamante	Entre Rios	AR	America/Argentina/Cordoba	19545
Dean Funes	Cordoba	AR	America/Argentina/Cordoba	20164
Cutral-Co	Neuquen	AR	America/Argentina/Salta	47380
Cruz del Eje	Cordoba	AR	America/Argentina/Cordoba	28166
Crespo	Entre Rios	AR	America/Argentina/Cordoba	18296
Cosquin	Cordoba	AR	America/Argentina/Cordoba	19070
Coronel Suarez	Buenos Aires	AR	America/Argentina/Buenos_Aires	27000
Coronda	Santa Fe	AR	America/Argentina/Cordoba	16975
Cordoba	Cordoba	AR	America/Argentina/Cordoba	1317298
Comodoro Rivadavia	Chubut	AR	America/Argentina/Catamarca	140850
Cipolletti	Rio Negro	AR	America/Argentina/Salta	75078
Cinco Saltos	Rio Negro	AR	America/Argentina/Salta	19819
Chivilcoy	Buenos Aires	AR	America/Argentina/Buenos_Aires	54514
Chimbas	San Juan	AR	America/Argentina/San_Juan	73829
Chilecito	La Rioja	AR	America/Argentina/La_Rioja	42248
Charata	Chaco	AR	America/Argentina/Cordoba	27813
Chacabuco	Buenos Aires	AR	America/Argentina/Buenos_Aires	34587
Centenario	Neuquen	AR	America/Argentina/Salta	28956
Caucete	San Juan	AR	America/Argentina/San_Juan	33609
Catriel	Rio Negro	AR	America/Argentina/Salta	15169
Castelli	Chaco	AR	America/Argentina/Cordoba	36588
Casilda	Santa Fe	AR	America/Argentina/Cordoba	32002
Carcarana	Santa Fe	AR	America/Argentina/Cordoba	15619
Capitan Bermudez	Santa Fe	AR	America/Argentina/Cordoba	27060
Canada de Gomez	Santa Fe	AR	America/Argentina/Cordoba	36000
Caleta Olivia	Santa Cruz	AR	America/Argentina/Rio_Gallegos	36077
Bell Ville	Cordoba	AR	America/Argentina/Cordoba	35105
Bella Vista	Tucuman	AR	America/Argentina/Tucuman	15126
Bahia Blanca	Buenos Aires	AR	America/Argentina/Buenos_Aires	299101
Arroyo Seco	Santa Fe	AR	America/Argentina/Cordoba	20620
Arroyito	Cordoba	AR	America/Argentina/Cordoba	19577
Anatuya	Santiago del Estero	AR	America/Argentina/Cordoba	20261
Alta Gracia	Cordoba	AR	America/Argentina/Cordoba	40384
Allen	Rio Negro	AR	America/Argentina/Salta	26083
Alderetes	Tucuman	AR	America/Argentina/Tucuman	38466
Albardon	San Juan	AR	America/Argentina/San_Juan	20413
Aguilares	Tucuman	AR	America/Argentina/Tucuman	32494
Balvanera	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	152198
Villa Santa Rita	Buenos Aires F.D.	AR	America/Argentina/Buenos_Aires	34000
Villa Mercedes	San Luis	AR	America/Argentina/San_Luis	96781
San Miguel	Buenos Aires	AR	America/Argentina/Buenos_Aires	72992
San Carlos de Bariloche	Rio Negro	AR	America/Argentina/Salta	95394
Adrogue	Buenos Aires	AR	America/Argentina/Buenos_Aires	28265
Ingeniero Pablo Nogues	Buenos Aires	AR	America/Argentina/Buenos_Aires	38470
Jose C. Paz	Buenos Aires	AR	America/Argentina/Buenos_Aires	230208
Santa Maria	Buenos Aires	AR	America/Argentina/Buenos_Aires	113302
Pago Pago	Eastern District	AS	Pacific/Pago_Pago	11500
Wilten	Tyrol	AT	Europe/Vienna	18142
Wiener Neustadt	Lower Austria	AT	Europe/Vienna	44820
Vienna	Vienna	AT	Europe/Vienna	1691468
Wetzelsdorf	Styria	AT	Europe/Vienna	15687
Wels	Upper Austria	AT	Europe/Vienna	16857
Weinzierl bei Krems	Lower Austria	AT	Europe/Vienna	24092
Villach	Carinthia	AT	Europe/Vienna	58882
Telfs	Tyrol	AT	Europe/Vienna	15229
Strassgang	Styria	AT	Europe/Vienna	16268
Stockerau	Lower Austria	AT	Europe/Vienna	16292
Steyr	Upper Austria	AT	Europe/Vienna	38331
Simmering	Vienna	AT	Europe/Vienna	101420
Sankt Poelten	Lower Austria	AT	Europe/Vienna	21911
Sankt Peter	Styria	AT	Europe/Vienna	15187
Sankt Peter	Carinthia	AT	Europe/Vienna	20320
Sankt Martin	Carinthia	AT	Europe/Vienna	20000
Salzburg	Salzburg	AT	Europe/Vienna	157245
Saalfelden am Steinernen Meer	Salzburg	AT	Europe/Vienna	16790
Pradl	Tyrol	AT	Europe/Vienna	32588
Perchtoldsdorf	Lower Austria	AT	Europe/Vienna	15047
Ottakring	Vienna	AT	Europe/Vienna	104627
Moedling	Lower Austria	AT	Europe/Vienna	20555
Meidling	Vienna	AT	Europe/Vienna	97624
Lustenau	Vorarlberg	AT	Europe/Vienna	22821
Linz	Upper Austria	AT	Europe/Vienna	204846
Klosterneuburg	Lower Austria	AT	Europe/Vienna	15614
Klagenfurt am Woerthersee	Carinthia	AT	Europe/Vienna	100316
Innsbruck	Tyrol	AT	Europe/Vienna	132493
Innere Stadt	Vienna	AT	Europe/Vienna	16450
Hoetting	Tyrol	AT	Europe/Vienna	35043
Hohenems	Vorarlberg	AT	Europe/Vienna	16317
Hietzing	Vienna	AT	Europe/Vienna	54265
Hernals	Vienna	AT	Europe/Vienna	57546
Graz	Styria	AT	Europe/Vienna	295424
Floridsdorf	Vienna	AT	Europe/Vienna	162779
Feldkirch	Vorarlberg	AT	Europe/Vienna	33420
Eggenberg	Styria	AT	Europe/Vienna	20511
Dornbirn	Vorarlberg	AT	Europe/Vienna	49278
Bregenz	Vorarlberg	AT	Europe/Vienna	29806
Baden	Lower Austria	AT	Europe/Vienna	26286
Amstetten	Lower Austria	AT	Europe/Vienna	15559
Favoriten	Vienna	AT	Europe/Vienna	201882
Donaustadt	Vienna	AT	Europe/Vienna	187007
Jakomini	Styria	AT	Europe/Vienna	32912
Lend	Styria	AT	Europe/Vienna	31147
Geidorf	Styria	AT	Europe/Vienna	24767
Sankt Leonhard	Styria	AT	Europe/Vienna	15853
Andritz	Styria	AT	Europe/Vienna	19020
Gries	Styria	AT	Europe/Vienna	29363
Scarborough	Western Australia	AU	Australia/Perth	17605
Rockingham	Western Australia	AU	Australia/Perth	15312
Perth	Western Australia	AU	Australia/Perth	2192229
Mount Isa	Queensland	AU	Australia/Brisbane	22785
Morphett Vale	South Australia	AU	Australia/Adelaide	24002
Mandurah	Western Australia	AU	Australia/Perth	107641
Kwinana	Western Australia	AU	Australia/Perth	30433
Gosnells	Western Australia	AU	Australia/Perth	21149
Geraldton	Western Australia	AU	Australia/Perth	37648
Gawler	South Australia	AU	Australia/Adelaide	20006
Darwin	Northern Territory	AU	Australia/Darwin	147255
Byford	Western Australia	AU	Australia/Perth	18878
Busselton	Western Australia	AU	Australia/Perth	21898
Bunbury	Western Australia	AU	Australia/Perth	76452
Australind	Western Australia	AU	Australia/Perth	15988
Alice Springs	Northern Territory	AU	Australia/Darwin	25186
Albany	Western Australia	AU	Australia/Perth	33650
Adelaide	South Australia	AU	Australia/Adelaide	1387290
Yarraville	Victoria	AU	Australia/Melbourne	15636
Wollert	Victoria	AU	Australia/Melbourne	24407
Wodonga	Victoria	AU	Australia/Melbourne	18582
Wheelers Hill	Victoria	AU	Australia/Melbourne	20652
Westmead	New South Wales	AU	Australia/Sydney	17835
Werribee	Victoria	AU	Australia/Melbourne	50027
